Order;Jahr;Monat;Monat Nr.;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert/Gewicht;Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert/Gewicht
97;2014;Januar;1;1,7;16;9411,76;20,2;300;14851,49
98;2014;Februar;2;0,6;5;8333,33;1,5;15;10000,00
99;2014;März;3;0,5;6;12000,00;4,5;66;14666,67
100;2014;April;4;0,3;4;13333,33;3,8;33;8684,21
101;2014;Mai;5;0,1;2;20000,00;5,8;102;17586,21
102;2014;Juni;6;0,4;7;17500,00;3,6;57;15833,33
103;2014;Juli;7;1,3;22;16923,08;17,1;173;10116,96
104;2014;August;8;5,4;79;14629,63;53,7;497;9255,12
105;2014;September;9;11,4;161;14122,81;87,3;893;10229,10
106;2014;Oktober;10;11,6;184;15862,07;143;1308;9146,85
107;2014;November;11;2,6;46;17692,31;41,1;425;10340,63
108;2014;Dezember;12;0,1;3;30000,00;12,1;215;17768,60
109;2015;Januar;1;1,6;31;19375,00;3,3;31;9393,94
110;2015;Februar;2;0,2;4;20000,00;11,1;186;16756,76
111;2015;März;3;0,8;19;23750,00;7,1;114;16056,34
112;2015;April;4;1,1;30;27272,73;5,5;50;9090,91
113;2015;Mai;5;2,8;64;22857,14;14;240;17142,86
114;2015;Juni;6;2,8;54;19285,71;12,9;174;13488,37
115;2015;Juli;7;2,1;39;18571,43;10,5;101;9619,05
116;2015;August;8;4,1;79;19268,29;14,6;191;13082,19
117;2015;September;9;19,9;276;13869,35;209,4;2476;11824,26
118;2015;Oktober;10;11,7;146;12478,63;182,8;1906;10426,70
119;2015;November;11;1,6;27;16875,00;92,3;870;9425,79
120;2015;Dezember;12;3;67;22333,33;25,8;230;8914,73
121;2016;Januar;1;0,9;17;18888,89;10,5;182;17333,33
122;2016;Februar;2;1,7;28;16470,59;11,4;149;13070,18
123;2016;März;3;0,1;1;10000,00;3,9;62;15897,44
124;2016;April;4;1,4;29;20714,29;4,7;37;7872,34
125;2016;Mai;5;0,8;19;23750,00;5,9;71;12033,90
126;2016;Juni;6;1;16;16000,00;19,2;270;14062,50
127;2016;Juli;7;2,7;43;15925,93;34,4;367;10668,60
128;2016;August;8;13,4;193;14402,99;105,5;1006;9535,55
129;2016;September;9;8,2;122;14878,05;39,1;477;12199,49
130;2016;Oktober;10;12,7;205;16141,73;115,9;1464;12631,58
131;2016;November;11;1,3;26;20000,00;35,2;524;14886,36
132;2016;Dezember;12;1,9;18;9473,68;11,3;185;16371,68
133;2017;Januar;1;0,4;6;15000,00;7,8;75;9615,38
134;2017;Februar;2;0,3;4;13333,33;3,6;58;16111,11
135;2017;März;3;0,3;3;10000,00;3,9;42;10769,23
136;2017;April;4;0,2;3;15000,00;7;89;12714,29
137;2017;Mai;5;0,3;5;16666,67;6,6;81;12272,73
138;2017;Juni;6;0,5;7;14000,00;9,5;113;11894,74
139;2017;Juli;7;1,8;32;17777,78;15,3;219;14313,73
140;2017;August;8;4,8;89;18541,67;50,3;582;11570,58
141;2017;September;9;8;113;14125,00;79,5;904;11371,07
142;2017;Oktober;10;14,1;189;13404,26;174,7;1814;10383,51
143;2017;November;11;2,2;36;16363,64;41;495;12073,17
144;2017;Dezember;12;1,3;26;20000,00;27,2;315;11580,88
145;2018;Januar;1;0,4;5;12500,00;7,3;137;18767,12
146;2018;Februar;2;0,4;4;10000,00;2,4;39;16250,00
147;2018;März;3;0,7;7;10000,00;11,8;181;15338,98
148;2018;April;4;0,3;3;10000,00;4,8;53;11041,67
149;2018;Mai;5;0,9;13;14444,44;10,5;153;14571,43
150;2018;Juni;6;0,6;9;15000,00;18,1;208;11491,71
151;2018;Juli;7;7,9;108;13670,89;75,8;756;9973,61
152;2018;August;8;1,8;27;15000,00;26,3;257;9771,86
153;2018;September;9;10;156;15600,00;70;815;11642,86
154;2018;Oktober;10;5,4;77;14259,26;48,1;771;16029,11
155;2018;November;11;4,1;58;14146,34;28,1;452;16085,41
156;2018;Dezember;12;1,1;20;18181,82;19,4;272;14020,62
157;2019;Januar;1;0,1;1;10000,00;6,7;96;14328,36
158;2019;Februar;2;0,4;3;7500,00;6,7;83;12388,06
159;2019;März;3;0,2;2;10000,00;4,9;67;13673,47
160;2019;April;4;0,7;7;10000,00;7,8;92;11794,87
161;2019;Mai;5;0,3;5;16666,67;8,8;108;12272,73
162;2019;Juni;6;2,6;44;16923,08;17,5;261;14914,29
163;2019;Juli;7;2,8;45;16071,43;17;213;12529,41
164;2019;August;8;5,5;93;16909,09;27,7;273;9855,60
165;2019;September;9;11,3;194;17168,14;100;1240;12400,00
166;2019;Oktober;10;13,5;198;14666,67;94,4;1192;12627,12
167;2019;November;11;7,5;113;15066,67;45,1;617;13680,71
168;2019;Dezember;12;2,4;35;14583,33;17,7;205;11581,92
169;2020;Januar;1;1,9;23;12105,26;12,4;120;9677,42
170;2020;Februar;2;0,2;2;10000,00;1,9;29;15263,16
171;2020;März;3;0,1;1;10000,00;4,3;48;11162,79
172;2020;April;4;0,3;2;6666,67;2;42;21000,00
173;2020;Mai;5;0,2;2;10000,00;3,3;46;13939,39
174;2020;Juni;6;0,8;15;18750,00;14;185;13214,29
175;2020;Juli;7;2,1;39;18571,43;25,9;382;14749,03
176;2020;August;8;1,5;28;18666,67;39,2;456;11632,65
177;2020;September;9;4,6;77;16739,13;32,7;425;12996,94
178;2020;Oktober;10;2,9;46;15862,07;62;529;8532,26
