;;;;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);
;;;;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;
Column1;Column2;Column3;Column4;Checksum;Jan-01;Jan-02;Jan-03;Jan-04;Jan-05;Jan-06;Feb-01;Feb-02;Feb-03;Feb-04;Feb-05;Feb-06;Mär-01;Mär-02;Mär-03;Mär-04;Mär-05;Mär-06;Apr-01;Apr-02;Apr-03;Apr-04;Apr-05;Apr-06;Mai-01;Mai-02;Mai-03;Mai-04;Mai-05;Mai-06;Jun-01;Jun-02;Jun-03;Jun-04;Jun-05;Jun-06;Jul-01;Jul-02;Jul-03;Jul-04;Jul-05;Jul-06;Aug-01;Aug-02;Aug-03;Aug-04;Aug-05;Aug-06;Sep-01;Sep-02;Sep-03;Sep-04;Sep-05;Sep-06;Okt-01;Okt-02;Okt-03;Okt-04;Okt-05;Okt-06;Nov-01;Nov-02;Nov-03;Nov-04;Nov-05;Nov-06;Dez-01;Dez-02;Dez-03;Dez-04;Dez-05;Dez-06
2016;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;37199;-;-;-;1,2;1;1;-;-;-;7701,7;4124;4575;-;-;-;25182;13520;15008;-;-;-;20162,6;10317;11699;-;-;-;8317,4;4105;4643;-;-;-;991,7;472;530;-;-;-;1149,6;557;616;-;-;-;15,2;9;10;-;-;-;8,7;9;10;-;-;-;4,9;6;7;100;65;70;0,2;0;0;125;28;29;1,5;1;1
2009;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;35108;-;-;-;0,4;0;0;-;-;-;14975,2;4461;5704;-;-;-;29887,9;9330;12176;-;-;-;19585,8;7021;9260;-;-;-;3999,1;1385;1891;-;-;-;3260,7;1117;1566;-;-;-;3941;1398;1970;-;-;-;41,3;22;32;2382,6;438;638;25,6;26;38;6993,6;1235;1830;0,2;0;1;-;-;-;0,9;1;1;-;-;-;1,3;1;1
2010;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;32141;-;-;-;2,1;1;1;-;-;-;6419,7;2288;3132;-;-;-;22153;8725;11839;-;-;-;13263,8;6495;8708;-;-;-;7460,4;2756;3463;-;-;-;2770,8;1318;1609;-;-;-;245,7;161;206;-;-;-;1,9;2;2;419,8;122;160;2,4;1;2;7606,7;2167;3012;6,4;2;3;0,1;0;0;2,2;2;2;-;-;-;1;1;2
2014;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;30426;-;-;-;0,4;0;1;-;-;-;66,2;38;51;-;-;-;11114,5;4975;6877;-;-;-;39192,1;13036;18007;-;-;-;5711,7;1943;2669;-;-;-;1236,3;488;663;-;-;-;1614,5;746;1010;-;-;-;1208,7;579;771;-;-;-;303,3;137;177;-;-;-;5,9;4;6;200;121;151;5,2;3;4;50;30;37;2,1;2;2
2012;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;29634;-;-;-;0,2;0;0;-;-;-;0,8;1;1;-;-;-;10134,8;3337;4406;-;-;-;10557,7;3539;4658;-;-;-;29958,3;8180;10462;-;-;-;4919,7;1839;2303;-;-;-;942,2;540;663;-;-;-;5,3;4;5;9042;3499;4498;0;0;0;8645,2;2019;2620;0,6;1;1;-;-;-;0;0;0;-;-;-;17,7;13;17
2020;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;28646;-;-;-;5,7;6;7;-;-;-;3632,1;1560;1701;-;-;-;19447,1;8159;9026;-;-;-;18452,1;7319;7950;-;-;-;16296,1;5940;6475;-;-;-;7583,2;2712;3053;-;-;-;989,7;358;410;-;-;-;8,8;7;8;-;-;-;23,5;14;16;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2018;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;28589;-;-;-;248,8;76;92;-;-;-;8555,3;2763;3412;-;-;-;19167,6;6071;7489;-;-;-;26744,3;8647;10615;-;-;-;14199,7;4574;5402;-;-;-;3271,3;1119;1306;-;-;-;352,2;129;151;-;-;-;199;79;91;-;-;-;13,6;10;11;-;-;-;7,4;8;9;-;-;-;4,8;4;5;-;-;-;5;5;6
2017;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;26886;-;-;-;0,7;1;1;-;-;-;12214,1;4515;4805;-;-;-;21885,3;8262;8828;-;-;-;20182,5;7529;8074;-;-;-;8677,4;3333;3686;-;-;-;2160,3;1028;1154;-;-;-;955,1;260;299;-;-;-;20,9;12;14;-;-;-;1,8;2;3;-;-;-;0,4;0;0;-;-;-;1,2;1;2;25;14;17;2,4;2;3
2015;Ägypten;WA070190;Kartoffeln, frisch oder gekühlt, a.n.g.;19062;-;-;-;578,9;218;253;-;-;-;5621,5;2357;2675;-;-;-;15041,5;5852;6342;-;-;-;18727,7;5477;5903;-;-;-;4987,7;1534;1710;-;-;-;4433,9;1597;1791;-;-;-;604,1;264;290;-;-;-;111,4;56;62;-;-;-;10,4;8;9;-;-;-;5,2;5;5;24,5;13;14;2,5;3;3;-;-;-;4;4;5
2018;Ägypten;WA081010;Erdbeeren, frisch;17681;-;-;-;1245,1;4270;5210;-;-;-;347,5;1318;1627;-;-;-;15,2;14;17;-;-;-;0,9;1;2;-;-;-;0,5;1;1;-;-;-;0;0;0;-;-;-;0;0;0;-;-;-;0,6;1;1;-;-;-;0,1;0;1;-;-;-;1,7;5;6;-;-;-;263,1;1360;1545;-;-;-;1791,3;8144;9271
