Jahr;Monat;DatenTyp;Einheit;WA07019010 Kartoffeln, frisch oder gek�hlt;WA07019050 Fr�hkartoffeln, frisch oder gek�hlt, 1.1.030.6.;WA07019090 Kartoffeln and., frisch oder gek�hlt;Kartoffeln combined;WA07092000 Spargel, frisch oder gek�hlt;WA08051020 S��orangen, frisch                      (bis 2016);WA08051022 Navel0Orangen, frisch;WA08051024 Blondorangen, frisch;WA08051028 S��orangen, a.n.g., frisch;WA08051080 Andere Zitrusfr�chte, frisch oder getrocknet;Orangen combined;WA08055010 Zitronen, frisch oder getrocknet;WA08101000 Erdbeeren, frisch;WA07099390 K�rbisse, a.n.g., frisch oder gek�hlt;WA07020000 Tomaten, frisch oder gek�hlt;WA07031019 Speisezwiebeln, frisch oder gek�hlt;WA07061000 Karotten und Speisem�hren, Speiser�ben, frisch;WA07070005 Gurken, frisch oder gek�hlt;WA07070090 Cornichons, frisch oder gek�hlt;WA07081000 Erbsen (Pisum sativum), frisch oder gek�hlt;WA07095930 Steinpilze, frisch oder gek�hlt;WA07097000 Gartenspinat u.a., frisch oder gek�hlt;WA08081080 Andere �pfel, frisch;WA08083090 Birnen, a.n.g., frisch;WA08102010 Himbeeren, frisch
2006;Dezember;Ausfuhr: Gewicht;t;152781,9;3,6;34288,9;187074,4;40,5;3286,3;0;0;0;57;3343,3;1332,6;239,9;0;3696,9;5565,5;2203,5;1578,4;0;416,2;0,9;505,2;8963,1;0;100,9
2006;Dezember;Ausfuhr: Wert;Tsd. EUR;5023;1;6429;11453;179;1893;0;0;0;49;1942;759;994;0;4049;1941;723;1633;0;346;10;82;5039;0;190
2006;Dezember;Einfuhr: Gewicht;t;219,8;43,8;25103,2;25366,8;476;79753,8;0;0;0;0;79753,8;13075,6;909,5;0;53546,6;14494;12566,3;37071,9;12,1;394,2;29;631,4;44375,9;0;138,7
2006;Dezember;Einfuhr: Wert;Tsd. EUR;20;22;7072;7114;1863;38807;0;0;0;0;38807;9009;2509;0;64171;6930;4531;31613;11;764;215;850;31192;0;543
2007;Januar;Ausfuhr: Gewicht;t;10629,9;419,3;119169,5;130218,7;6,7;3477,5;0;0;0;2,3;3479,8;477;149,3;0;2492,1;3984,6;3881,3;1187,6;12,7;406;0,3;211,5;7347,6;0;16,7
2007;Januar;Ausfuhr: Wert;Tsd. EUR;645;121;17759;18525;33;2367;0;0;0;2;2369;316;640;0;3748;1234;718;1296;8;233;6;80;4679;0;44
2007;Januar;Einfuhr: Gewicht;t;177,8;2926,9;28647,2;31751,9;172,2;69958,7;0;0;0;18,8;69977,5;11426,8;974,1;0;49772,5;14530,5;16715,1;30176,8;18,1;666,6;6,1;478,5;41695,2;0;254,2
2007;Januar;Einfuhr: Wert;Tsd. EUR;15;1348;8672;10035;707;34743;0;0;0;8;34751;7708;3372;0;71087;7132;5907;28357;19;1508;108;674;29629;0;592
2007;Februar;Ausfuhr: Gewicht;t;828,8;1216,7;110982,6;113028,1;12,7;2697,3;0;0;0;8;2705,3;254,4;118,8;0;3052,1;8891,7;5231,1;1736,8;0;1063,9;0,1;222,6;12754;0;17,6
2007;Februar;Ausfuhr: Wert;Tsd. EUR;102;394;23766;24262;61;1583;0;0;0;4;1587;175;362;0;3549;2625;849;1728;0;356;2;104;6059;0;51
